timestamp,version,input_set,population,bits,generations,mutation_rate,seed,threads,run,elapsed_seconds,best_fitness
2026-09-09T14:18:29-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,3,2.294334,1530
2026-09-09T14:18:32-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,4,2.291710,1530
2026-09-09T14:18:34-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,5,2.283602,1530
2026-09-09T14:18:36-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,6,2.292486,1530
2026-09-09T14:18:38-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,7,2.294089,1530
2026-09-09T14:18:41-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,8,2.276865,1530
2026-09-09T14:18:43-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,9,2.279988,1530
2026-09-09T14:18:45-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,10,2.296795,1530
2026-09-09T14:18:47-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,1,1.696507,1522
2026-09-09T14:18:49-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,2,1.736286,1522
2026-09-09T14:18:51-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,3,1.783273,1522
2026-09-09T14:18:52-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,4,1.642605,1522
2026-09-09T14:18:54-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,5,1.641458,1522
2026-09-09T14:18:56-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,6,1.695229,1522
2026-09-09T14:18:58-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,7,1.715160,1522
2026-09-09T14:19:00-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,8,1.669006,1522
2026-09-09T14:19:01-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,9,1.661362,1522
2026-09-09T14:19:03-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,10,1.677522,1522
2026-09-09T14:19:04-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,1,0.863848,1522
2026-09-09T14:19:05-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,2,0.875050,1522
2026-09-09T14:19:06-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,3,0.860452,1522
2026-09-09T14:19:06-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,4,0.869308,1522
2026-09-09T14:19:07-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,5,0.882529,1522
2026-09-09T14:19:08-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,6,0.866784,1522
2026-09-09T14:19:09-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,7,0.870053,1522
2026-09-09T14:19:10-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,8,0.873047,1522
2026-09-09T14:19:11-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,9,0.869148,1522
2026-09-09T14:19:12-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,10,0.863676,1522
2026-09-09T14:19:13-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,1,0.764386,1522
2026-09-09T14:19:13-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,2,0.766605,1522
2026-09-09T14:19:14-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,3,0.755932,1522
2026-09-09T14:19:15-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,4,0.765074,1522
2026-09-09T14:19:16-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,5,0.782756,1522
2026-09-09T14:19:16-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,6,0.759020,1522
2026-09-09T14:19:17-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,7,0.782003,1522
2026-09-09T14:19:18-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,8,0.781871,1522
2026-09-09T14:19:19-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,9,0.758194,1522
2026-09-09T14:19:20-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,10,0.775510,1522
2026-09-09T14:19:20-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,1,0.488454,1522
2026-09-09T14:19:21-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,2,0.462493,1522
2026-09-09T14:19:21-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,3,0.458522,1522
2026-09-09T14:19:21-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,4,0.462745,1522
2026-09-09T14:19:22-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,5,0.466935,1522
2026-09-09T14:19:22-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,6,0.461761,1522
2026-09-09T14:19:23-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,7,0.464832,1522
2026-09-09T14:19:23-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,8,0.459169,1522
2026-09-09T14:19:24-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,9,0.488753,1522
2026-09-09T14:19:24-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,10,0.486271,1522
2026-09-09T14:19:29-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,1,4.494423,1585
2026-09-09T14:19:33-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,2,4.536015,1585
2026-09-09T14:19:38-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,3,4.531018,1585
2026-09-09T14:19:43-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,4,4.518795,1585
2026-09-09T14:19:47-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,5,4.517253,1585
2026-09-09T14:19:52-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,6,4.531622,1585
2026-09-09T14:19:56-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,7,4.559999,1585
2026-09-09T14:20:01-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,8,4.542658,1585
2026-09-09T14:20:05-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,9,4.568810,1585
2026-09-09T14:20:10-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,10,4.578138,1585
2026-09-09T14:20:13-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,1,3.343055,1575
2026-09-09T14:20:17-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,2,3.330315,1575
